,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Total Assets,2461600000.0,2118400000.0,2003800000.0,1983000000.0,2009000000.0,,
Total Non Current Assets,2067700000.0,1764600000.0,1729700000.0,1703500000.0,1677900000.0,,
Other Non Current Assets,46500000.0,35800000.0,33900000.0,23400000.0,18300000.0,,
Non Current Deferred Assets,10500000.0,11200000.0,8700000.0,4900000.0,4700000.0,,
Non Current Deferred Taxes Assets,10500000.0,11200000.0,8700000.0,4900000.0,4700000.0,,
Net PPE,2010700000.0,1717600000.0,1687100000.0,1675200000.0,1654900000.0,,
Accumulated Depreciation,-2136000000.0,-2062300000.0,-2009800000.0,-1995700000.0,-1935700000.0,,
Gross PPE,4146700000.0,3779900000.0,3696900000.0,3670900000.0,3590600000.0,,
Construction In Progress,164100000.0,97300000.0,182100000.0,3670900000.0,70800000.0,,
Machinery Furniture Equipment,1298300000.0,1250100000.0,1186200000.0,,1429800000.0,1610400000.0,
Current Assets,393800000.0,353800000.0,274100000.0,279500000.0,331100000.0,,
Other Current Assets,13700000.0,13000000.0,18900000.0,7800000.0,8100000.0,,
Hedging Assets Current,200000.0,-2100000.0,1200000.0,-200000.0,1200000.0,,
Inventory,120100000.0,110900000.0,118700000.0,114700000.0,113300000.0,,
Inventories Adjustments Allowances,,,,,,-12400000.0,
Finished Goods,16100000.0,15000000.0,14400000.0,,,21700000.0,16800000.0
Work In Process,17100000.0,12600000.0,17100000.0,,,11000000.0,5300000.0
Raw Materials,86900000.0,83300000.0,87200000.0,,,110200000.0,104600000.0
Receivables,26800000.0,12400000.0,25000000.0,16700000.0,16100000.0,,
Other Receivables,700000.0,600000.0,200000.0,800000.0,1100000.0,,
Taxes Receivable,3600000.0,3500000.0,3200000.0,3400000.0,4700000.0,,
Accounts Receivable,22500000.0,8300000.0,21600000.0,12500000.0,10300000.0,,
Cash Cash Equivalents And Short Term Investments,233000000.0,219600000.0,110300000.0,140500000.0,192400000.0,,
Other Short Term Investments,7200000.0,6800000.0,5100000.0,7900000.0,8000000.0,,
Cash And Cash Equivalents,225800000.0,212800000.0,105200000.0,132600000.0,184400000.0,,
