,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tradeand Other Payables Non Current,,4973271000.0,3981875000.0,1223128000.0,
Non Current Deferred Liabilities,5197137000.0,4997317000.0,3995830000.0,1223128000.0,
Non Current Deferred Revenue,34888000.0,24046000.0,13955000.0,1212750000.0,
Non Current Deferred Taxes Liabilities,5162249000.0,4973271000.0,3981875000.0,1223128000.0,
Long Term Debt And Capital Lease Obligation,1151877000.0,1858240000.0,1356946000.0,1438668000.0,
Long Term Capital Lease Obligation,98921000.0,115154000.0,114876000.0,98445000.0,
Long Term Debt,1052956000.0,1743086000.0,1242070000.0,1340223000.0,
Long Term Provisions,1026628000.0,1049238000.0,878328000.0,722449000.0,
Current Liabilities,1511965000.0,1048026000.0,946422000.0,761813000.0,
Other Current Liabilities,237229000.0,109540000.0,78114000.0,22089000.0,
Current Debt And Capital Lease Obligation,130305000.0,146394000.0,136466000.0,257988000.0,
Current Capital Lease Obligation,40305000.0,46394000.0,36466000.0,32988000.0,
Current Debt,90000000.0,100000000.0,100000000.0,225000000.0,
Other Current Borrowings,90000000.0,100000000.0,100000000.0,225000000.0,
Pensionand Other Post Retirement Benefit Plans Current,27290000.0,24316000.0,15148000.0,0.0,
Current Provisions,58579000.0,24266000.0,23508000.0,7547000.0,
Payables And Accrued Expenses,1058562000.0,743510000.0,693186000.0,474189000.0,
Current Accrued Expenses,282225000.0,250032000.0,330025000.0,167323000.0,
Interest Payable,5763000.0,14226000.0,16496000.0,12303000.0,
Payables,776337000.0,493478000.0,363161000.0,306866000.0,
Other Payable,108142000.0,94368000.0,99972000.0,70584000.0,
Total Tax Payable,372197000.0,81222000.0,4187000.0,47213000.0,
Income Tax Payable,372197000.0,81222000.0,4187000.0,47213000.0,
Accounts Payable,295998000.0,317888000.0,259002000.0,189069000.0,
Total Assets,29987018000.0,28684949000.0,23494808000.0,10216090000.0,
Total Non Current Assets,27181737000.0,26493797000.0,21314749000.0,8913702000.0,
Other Non Current Assets,832641000.0,641003000.0,412819000.0,287775000.0,
Non Current Prepaid Assets,58438000.0,53191000.0,26102000.0,27481000.0,
Non Current Deferred Assets,29198000.0,53796000.0,11574000.0,133608000.0,
Non Current Deferred Taxes Assets,29198000.0,53796000.0,11574000.0,133608000.0,
Non Current Note Receivables,12039000.0,10108000.0,3939000.0,37942000.0,
Non Current Accounts Receivable,,,,10098000.0,8238000.0
Financial Assets,53724000.0,21546000.0,28124000.0,74559000.0,
Investments And Advances,571526000.0,334576000.0,315350000.0,268950000.0,
Investmentin Financial Assets,559165000.0,323711000.0,304618000.0,268950000.0,
Available For Sale Securities,559165000.0,323711000.0,304618000.0,268950000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,21546000.0,28124000.0,74559000.0,92747000.0
Long Term Equity Investment,12361000.0,10865000.0,10732000.0,0.0,
Investmentsin Associatesat Cost,12361000.0,10865000.0,10732000.0,0.0,
Goodwill And Other Intangible Assets,4157672000.0,4157672000.0,2057441000.0,407792000.0,
Other Intangible Assets,,,13318000.0,,
Goodwill,4157672000.0,4157672000.0,2044123000.0,407792000.0,
Net PPE,21466499000.0,21221905000.0,18459400000.0,7675595000.0,
Accumulated Depreciation,-12858390000.0,-11248516000.0,-7618460000.0,-6419604000.0,
Gross PPE,34324889000.0,32470421000.0,26077860000.0,14095199000.0,
Machinery Furniture Equipment,13291636000.0,12458000000.0,10490684000.0,6942383000.0,
Current Assets,2805281000.0,2191152000.0,2180059000.0,1302388000.0,
Other Current Assets,45288000.0,35934000.0,39140000.0,26715000.0,
Hedging Assets Current,1348000.0,50786000.0,8774000.0,12305000.0,
Prepaid Assets,124566000.0,151741000.0,110649000.0,90681000.0,
Inventory,1510716000.0,1418941000.0,1209075000.0,878944000.0,
Finished Goods,255516000.0,237805000.0,184841000.0,125738000.0,
Raw Materials,1255200000.0,1181136000.0,1024234000.0,753206000.0,
Receivables,189626000.0,184903000.0,143900000.0,102669000.0,
Other Receivables,,,,24594000.0,17299000.0
Taxes Receivable,181980000.0,176755000.0,135321000.0,89124000.0,
Accounts Receivable,7646000.0,8148000.0,8579000.0,13545000.0,
Cash Cash Equivalents And Short Term Investments,933737000.0,348847000.0,668521000.0,191074000.0,
Other Short Term Investments,7306000.0,10199000.0,9896000.0,5288000.0,
Cash And Cash Equivalents,926431000.0,338648000.0,658625000.0,185786000.0,
